Model,RVR_Loose,RVR_Strict,RVM_Mag_Strict
PhysFormer,0.00010031750490301804,0.03972573194159515,2.605744421046311e-05
Informer,0.0,0.003962541443669213,6.846825152952262e-07
Informer-Post,0.0,0.003962541443669213,6.846825152952262e-07
iTransformer,0.0,0.00018391542565553308,7.234597637807086e-08
